Town,codeCommune,City,NumWilaya
ADRAR,101,ADRAR,1
AKABLI,119,ADRAR,1
AOUGROUT,123,ADRAR,1
AOULEF,112,ADRAR,1
BORDJ BADJI MOKHTAR,125,ADRAR,1
BOUDA,122,ADRAR,1
CHAROUINE,103,ADRAR,1
DELDOUL,117,ADRAR,1
FENOUGHIL,115,ADRAR,1
IN ZGHMIR,105,ADRAR,1
KSAR KADDOUR,107,ADRAR,1
METARFA,120,ADRAR,1
OULED AHMED TIMMI,121,ADRAR,1
OULED AISSA,127,ADRAR,1
OULED SAID,110,ADRAR,1
REGGANE,104,ADRAR,1
SALI,118,ADRAR,1
SBAA,126,ADRAR,1
TALMINE,124,ADRAR,1
TAMENTIT,114,ADRAR,1
TAMEST,102,ADRAR,1
TIMIAOUINE,128,ADRAR,1
TIMIMOUN,109,ADRAR,1
TIMOKTEN,113,ADRAR,1
TINERKOUK,116,ADRAR,1
TIT,106,ADRAR,1
TSABIT,108,ADRAR,1
ZAOUIET KOUNTA,111,ADRAR,1
ABOU EL HASSAN,222,CHLEF,2
AIN MERANE,232,CHLEF,2
BENAIRIA,203,CHLEF,2
BENI BOUATEB,235,CHLEF,2
BENI HAOUA,207,CHLEF,2
BENI RACHED,213,CHLEF,2
BOUKADIR,212,CHLEF,2
BOUZGHAIA,231,CHLEF,2
BREIRA,234,CHLEF,2
CHETTIA,224,CHLEF,2
CHLEF,201,CHLEF,2
DAHRA,217,CHLEF,2
EL HADJADJ,227,CHLEF,2
EL KARIMIA,204,CHLEF,2
EL MARSA,223,CHLEF,2
HARCHOUN,209,CHLEF,2
HARENFA,215,CHLEF,2
LABIOD MEDJADJA,228,CHLEF,2
MOUSSADEK,226,CHLEF,2
OUED FODDA,229,CHLEF,2
OUED GOUSSINE,216,CHLEF,2
OUED SLY,221,CHLEF,2
OULED ABBES,218,CHLEF,2
OULED BEN ABDELKADER,230,CHLEF,2
OULED FARES,210,CHLEF,2
OUM DROU,233,CHLEF,2
SENDJAS,219,CHLEF,2
SIDI ABDERRAHMANE,225,CHLEF,2
SIDI AKKACHA,211,CHLEF,2
SOBHA,208,CHLEF,2
TADJENA,205,CHLEF,2
TALASSA,214,CHLEF,2
TAOUGRITE,206,CHLEF,2
TENES,202,CHLEF,2
